"id","year","major_head","estimate_type","major_category","minor_category","sub_category","amount"
725,"2020-2021","028","Revised","Taxes on Income","Other Taxes on Income and Expenditure","Expenditure Tax ",""
726,"2020-2021","028","Revised","Taxes on Income","Other Taxes on Income and Expenditure","Income Declaration Scheme, 2016 ",""
727,"2020-2021","028","Revised","Taxes on Income","Other Taxes on Income and Expenditure","Other Receipts ",""
728,"2020-2021","028","Revised","Taxes on Income","Krishi Kalyan Cess","Other Receipts ",""
729,"2020-2021","031","Revised","Wealth Tax","Estate Duty","Other Receipts ",""
730,"2020-2021","032","Revised","Wealth Tax","Taxes on Wealth","Other Receipts ",""
731,"2020-2021","037","Revised","Customs","Import Duties","Basic Duties ",88884.0
732,"2020-2021","037","Revised","Customs","Import Duties","Additional Duty on Customs(CVD) ",1140.0
733,"2020-2021","037","Revised","Customs","Import Duties","National Calamity Contingent Duty ",820.0
734,"2020-2021","037","Revised","Customs","Import Duties","Education Cess ",""
735,"2020-2021","037","Revised","Customs","Import Duties","Secondary and Higher Education Cess ",""
736,"2020-2021","037","Revised","Customs","Import Duties","Social Welfare Surcharge ",13500.0
737,"2020-2021","037","Revised","Customs","Import Duties","Health Cess ",660.0
738,"2020-2021","037","Revised","Customs","Import Duties","Through Debit in RoDTEP Ledger ",""
739,"2020-2021","037","Revised","Customs","Export Duty","Through Debit in RoDTEP Ledger ",-804.0
740,"2020-2021","037","Revised","Customs","Cesses on Exports","Through Debit in RoDTEP Ledger ",3200.0
741,"2020-2021","037","Revised","Customs","Other Receipts","Through Debit in RoDTEP Ledger ",4600.0
742,"2020-2021","037","Revised","Customs","Sale of Gold by Public Auction","Through Debit in RoDTEP Ledger ",""
743,"2020-2021","037","Revised","Customs","Sale Proceeds of Confiscated Goods","Through Debit in RoDTEP Ledger ",""
744,"2020-2021","037","Revised","Customs","Anti-dumping Duty","Through Debit in RoDTEP Ledger ",""
745,"2020-2021","037","Revised","Customs","Safeguard Duty","Through Debit in RoDTEP Ledger ",""
746,"2020-2021","037","Revised","Customs","Customs Duty on Gold","Through Debit in RoDTEP Ledger ",""
747,"2020-2021","037","Revised","Customs","Road and Infrastructure Cess","Through Debit in RoDTEP Ledger ",""
748,"2020-2021","038","Revised","Union Excise Duties","Basic Excise Duties","Through Debit in RoDTEP Ledger ",47750.0
749,"2020-2021","038","Revised","Union Excise Duties","Additional Duty of Excise on Motor Spirit","Through Debit in RoDTEP Ledger ",""
750,"2020-2021","038","Revised","Union Excise Duties","Additional Duty of Excise on High Speed Diesel Oil","Through Debit in RoDTEP Ledger ",""
751,"2020-2021","038","Revised","Union Excise Duties","National Calamity Contingent Duty","Through Debit in RoDTEP Ledger ",5000.0
752,"2020-2021","038","Revised","Union Excise Duties","Special Additional Duty of Excise on Motor Spirit","Through Debit in RoDTEP Ledger ",74350.0
753,"2020-2021","038","Revised","Union Excise Duties","Surcharge on Pan Masala and Tobacco Products","Through Debit in RoDTEP Ledger ",""
754,"2020-2021","038","Revised","Union Excise Duties","Cesses administrated by Department of Revenue","Education Cess ",""
755,"2020-2021","038","Revised","Union Excise Duties","Cesses administrated by Department of Revenue","Secondary & Higher Education Cess ",""
756,"2020-2021","038","Revised","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Crude Oil ",9900.0
757,"2020-2021","038","Revised","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Bidi ",""
758,"2020-2021","038","Revised","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Sugar ",""
759,"2020-2021","038","Revised","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Automobiles ",""
760,"2020-2021","038","Revised","Union Excise Duties","Cesses administrated by Department of Revenue","Others ",""
761,"2020-2021","038","Revised","Union Excise Duties","Cesses administrated by Department of Revenue","Clean Environment Cess (Erstwhile-Clean Energy Cess) ",""
762,"2020-2021","038","Revised","Union Excise Duties","Cesses administrated by Department of Revenue","Infrastructure Cess ",""
763,"2020-2021","038","Revised","Union Excise Duties","Cesses administrated by Department of Revenue","Duty of Excise on Motor Spirit and High Speed Diesel Oil (Road and Infrastructure Cess) ",224000.0
764,"2020-2021","038","Revised","Union Excise Duties","Cesses administered by Other Departments","Rubber ",""
765,"2020-2021","038","Revised","Union Excise Duties","Cesses administered by Other Departments","Jute ",""
766,"2020-2021","038","Revised","Union Excise Duties","Cesses administered by Other Departments","Tea ",""
767,"2020-2021","038","Revised","Union Excise Duties","Cesses administered by Other Departments","Oil and Oil Seeds ",""
768,"2020-2021","038","Revised","Union Excise Duties","Cesses administered by Other Departments","Cotton ",""
769,"2020-2021","038","Revised","Union Excise Duties","Cesses administered by Other Departments","Tobacco ",""
770,"2020-2021","038","Revised","Union Excise Duties","Cesses administered by Other Departments","Paper ",""
771,"2020-2021","038","Revised","Union Excise Duties","Auxiliary Duties of Excise","Paper ",""
772,"2020-2021","038","Revised","Union Excise Duties","Special Excise Duties","Paper ",""
773,"2020-2021","038","Revised","Union Excise Duties","Excise Duty on generation of Power","Paper ",""
774,"2020-2021","038","Revised","Union Excise Duties","Additional Excise Duty on Textile and Textile Articles","Paper ",""
775,"2020-2021","038","Revised","Union Excise Duties","Additional Duty of Excise on mineral Product","Paper ",""
776,"2020-2021","038","Revised","Union Excise Duties","Additional Excise Duties in lieu of Sales Tax","Paper ",""
777,"2020-2021","038","Revised","Union Excise Duties","Additional Excise Duty on TV Sets","Paper ",""
778,"2020-2021","038","Revised","Union Excise Duties","Other Duties","Paper ",""
779,"2020-2021","038","Revised","Union Excise Duties","Sale of Confiscated Goods","Paper ",""
780,"2020-2021","038","Revised","Union Excise Duties","Miscellaneous Receipts","Paper ",""
781,"2020-2021","044","Revised","Service Tax","Collections","Paper ",1400.0
782,"2020-2021","044","Revised","Service Tax","Education Cess","Paper ",""
783,"2020-2021","044","Revised","Service Tax","Secondary & Higher Education Cess","Paper ",""
784,"2020-2021","044","Revised","Service Tax","Swachh Bharat Cess","Paper ",""
785,"2020-2021","044","Revised","Service Tax","Krishi Kalyan Cess","Paper ",""
786,"2020-2021","044","Revised","Service Tax","Other Receipts","Paper ",""
787,"2020-2021","005","Revised","Goods and Services Tax (GST)","Central Goods and Services Tax (CGST)","Paper ",431000.0
788,"2020-2021","008","Revised","Goods and Services Tax (GST)","Integrated Goods and Services Tax (IGST)","Paper ",""
789,"2020-2021","009","Revised","Goods and Services Tax (GST)","GST Compensation Cess","Paper ",84100.0
790,"2020-2021","040","Revised","Other Taxes and Duties on Commodities and Services","Taxes on Sale, Trade etc.","Paper ",""
791,"2020-2021","045","Revised","Other Taxes and Duties on Commodities and Services","Other Taxes","Paper ",""
792,"2020-2021","710","Revised","Taxes of Union Territories","Land Revenue","Paper ",32.18
793,"2020-2021","710","Revised","Taxes of Union Territories","Stamps and Registration","Paper ",321.49
794,"2020-2021","710","Revised","Taxes of Union Territories","State Excise Duties","Paper ",1291.06
795,"2020-2021","710","Revised","Taxes of Union Territories","Sales Tax","Paper ",1138.45
796,"2020-2021","710","Revised","Taxes of Union Territories","Taxes on Vehicles","Paper ",248.27
797,"2020-2021","710","Revised","Taxes of Union Territories","Taxes on goods and passengers","Paper ",6.25
798,"2020-2021","710","Revised","Taxes of Union Territories","Taxes and Duties on Electricity","Paper ",22.63
799,"2020-2021","710","Revised","Taxes of Union Territories","Other Taxes and Duties","Paper ",0.01
800,"2020-2021","007","Revised","Taxes of Union Territories","Union Territories  Goods and Services Tax (UTGST)","Paper ",2719.49
801,"2020-2021","037","Revised","Less-NCCD transferred to the National Disaster Response Fund","NCCD (Customs)","Paper ",-820.0
802,"2020-2021","038","Revised","Less-NCCD transferred to the National Disaster Response Fund","NCCD (Union Excise)","Paper ",-5000.0
803,"2021-2022","020","Budget","Corporation Tax","Collections","None",473365.39
804,"2021-2022","020","Budget","Corporation Tax","Surcharge","None",52596.15
805,"2021-2022","020","Budget","Corporation Tax","Education Cess / Health and Education Cess","None",21038.46
806,"2021-2022","020","Budget","Corporation Tax","Penalties","None",""
807,"2021-2022","020","Budget","Corporation Tax","Interest Recoveries","None",""
808,"2021-2022","020","Budget","Corporation Tax","Tax on Distributed Profits of Domestic Companies","None",""
809,"2021-2022","020","Budget","Corporation Tax","Tax on Distributed Income to Unit Holders","None",""
810,"2021-2022","020","Budget","Corporation Tax","Miscellaneous Receipts","None",""
811,"2021-2022","021","Budget","Taxes on Income","Collections","None",474663.47
812,"2021-2022","021","Budget","Taxes on Income","Surcharge","None",52740.38
813,"2021-2022","021","Budget","Taxes on Income","Health and Education Cess","None",21096.15
814,"2021-2022","021","Budget","Taxes on Income","Penalties","None",""
815,"2021-2022","021","Budget","Taxes on Income","Interest Recoveries","None",""
816,"2021-2022","021","Budget","Taxes on Income","Tax Under Black Money","None",""
817,"2021-2022","021","Budget","Taxes on Income","Miscellaneous Receipts","None",""
818,"2021-2022","034","Budget","Taxes on Income","Security Transaction Tax","None",12500.0
819,"2021-2022","023","Budget","Taxes on Income","Hotel Receipts Tax","None",""
820,"2021-2022","024","Budget","Taxes on Income","Interest Tax","None",""
821,"2021-2022","026","Budget","Taxes on Income","Fringe Benefit Tax","None",""
822,"2021-2022","028","Budget","Taxes on Income","Other Taxes on Income and Expenditure","Expenditure Tax ",""
823,"2021-2022","028","Budget","Taxes on Income","Other Taxes on Income and Expenditure","Income Declaration Scheme, 2016 ",""
824,"2021-2022","028","Budget","Taxes on Income","Other Taxes on Income and Expenditure","Other Receipts ",""
825,"2021-2022","028","Budget","Taxes on Income","Krishi Kalyan Cess","Other Receipts ",""
826,"2021-2022","031","Budget","Wealth Tax","Estate Duty","Other Receipts ",""
827,"2021-2022","032","Budget","Wealth Tax","Taxes on Wealth","Other Receipts ",""
828,"2021-2022","037","Budget","Customs","Import Duties","Basic Duties ",97950.0
829,"2021-2022","037","Budget","Customs","Import Duties","Additional Duty on Customs(CVD) ",""
830,"2021-2022","037","Budget","Customs","Import Duties","National Calamity Contingent Duty ",850.0
831,"2021-2022","037","Budget","Customs","Import Duties","Education Cess ",""
832,"2021-2022","037","Budget","Customs","Import Duties","Secondary and Higher Education Cess ",""
833,"2021-2022","037","Budget","Customs","Import Duties","Social Welfare Surcharge ",14800.0
834,"2021-2022","037","Budget","Customs","Import Duties","Health Cess ",800.0
835,"2021-2022","037","Budget","Customs","Import Duties","Through Debit in RoDTEP Ledger ",13000.0
836,"2021-2022","037","Budget","Customs","Export Duty","Through Debit in RoDTEP Ledger ",100.0
837,"2021-2022","037","Budget","Customs","Cesses on Exports","Through Debit in RoDTEP Ledger ",3500.0
838,"2021-2022","037","Budget","Customs","Other Receipts","Through Debit in RoDTEP Ledger ",5000.0
839,"2021-2022","037","Budget","Customs","Sale of Gold by Public Auction","Through Debit in RoDTEP Ledger ",""
840,"2021-2022","037","Budget","Customs","Sale Proceeds of Confiscated Goods","Through Debit in RoDTEP Ledger ",""
841,"2021-2022","037","Budget","Customs","Anti-dumping Duty","Through Debit in RoDTEP Ledger ",""
842,"2021-2022","037","Budget","Customs","Safeguard Duty","Through Debit in RoDTEP Ledger ",""
843,"2021-2022","037","Budget","Customs","Customs Duty on Gold","Through Debit in RoDTEP Ledger ",""
844,"2021-2022","037","Budget","Customs","Road and Infrastructure Cess","Through Debit in RoDTEP Ledger ",""
845,"2021-2022","038","Budget","Union Excise Duties","Basic Excise Duties","Through Debit in RoDTEP Ledger ",47500.0
846,"2021-2022","038","Budget","Union Excise Duties","Additional Duty of Excise on Motor Spirit","Through Debit in RoDTEP Ledger ",""
847,"2021-2022","038","Budget","Union Excise Duties","Additional Duty of Excise on High Speed Diesel Oil","Through Debit in RoDTEP Ledger ",""
848,"2021-2022","038","Budget","Union Excise Duties","National Calamity Contingent Duty","Through Debit in RoDTEP Ledger ",5250.0
849,"2021-2022","038","Budget","Union Excise Duties","Special Additional Duty of Excise on Motor Spirit","Through Debit in RoDTEP Ledger ",74350.0
850,"2021-2022","038","Budget","Union Excise Duties","Surcharge on Pan Masala and Tobacco Products","Through Debit in RoDTEP Ledger ",""
851,"2021-2022","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Education Cess ",""
852,"2021-2022","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Secondary & Higher Education Cess ",""
853,"2021-2022","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Crude Oil ",9900.0
854,"2021-2022","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Bidi ",""
855,"2021-2022","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Sugar ",""
856,"2021-2022","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Automobiles ",""
857,"2021-2022","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Others ",""
